name,domain,job_code,job_family,locale,id
Test Engineering Technici_51016437,JGP,51016437,JGP_JobFamily,en_US,2860262864579467205
Assistant Supplier Qualit_51109145,JGP,51109145,JGP_JobFamily,en_US,2860262864579467206
Manufacturing Engineering_51045516,JGP,51045516,JGP_JobFamily,en_US,2860262864579467207
Administrative Services M_51759620,JGP,51759620,JGP_JobFamily,en_US,2860262864579467208
Plastics Engineering Tech_51637118,JGP,51637118,JGP_JobFamily,en_US,2860262864579467209
Tooling Support Technicia_52041582,JGP,52041582,JGP_JobFamily,en_US,2860262864587855818
Assistant Tooling Technol_51565474,JGP,51565474,JGP_JobFamily,en_US,2860262864587855819
Assistant Quality Manager_51016485,JGP,51016485,JGP_JobFamily,en_US,2860262864587855822
Business Systems Analyst_51260716,JGP,51260716,JGP_JobFamily,en_US,2860262864587855824
Assistant Research & Deve_51394824,JGP,51394824,JGP_JobFamily,en_US,2860262864587855825
Inventory Control Trainer_51832417,JGP,51832417,JGP_JobFamily,en_US,2860262864587855826
Customer Service Administ_51020257,JGP,51020257,JGP_JobFamily,en_US,2860262864587855829
Project Engineer I_51524382,JGP,51524382,JGP_JobFamily,en_US,2860262864587855830
Sr. Manufacturing Technic_40000017,JGP,40000017,JGP_JobFamily,en_US,2860262864587855831
"Technician 1, Engineering_10000040",JGP,10000040,JGP_JobFamily,en_US,2860262864587855832
Human Resources Specialis_51016221,JGP,51016221,JGP_JobFamily,en_US,2860262864587855833
Human Resources Generalis_51016225,JGP,51016225,JGP_JobFamily,en_US,2860262864587855834
Purchasing Supervisor_51016478,JGP,51016478,JGP_JobFamily,en_US,2860262864587855835
Tooling CAD Technician  I_40000103,JGP,40000103,JGP_JobFamily,en_US,2860262864587855836
Automation Design Enginee_51453225,JGP,51453225,JGP_JobFamily,en_US,2860262864587855837
Field Service Technician_51570962,JGP,51570962,JGP_JobFamily,en_US,2860262864587855840
Lead Manufacturing Engine_51162153,JGP,51162153,JGP_JobFamily,en_US,2860262864587855841
Administration Officer (W_51084688,JGP,51084688,JGP_JobFamily,en_US,2860262864587855842
Application Administrator_51083958,JGP,51083958,JGP_JobFamily,en_US,2860262864587855843
"Supervisor 2, Materials/H_10002165",JGP,10002165,JGP_JobFamily,en_US,2860262864587855844
Sr. Finance Transformatio_51264606,JGP,51264606,JGP_JobFamily,en_US,2860262864587855845
Repair Process Engineer_51149910,JGP,51149910,JGP_JobFamily,en_US,2860262864587855846
Design Engineering Manage_51048305,JGP,51048305,JGP_JobFamily,en_US,2860262864587855847
Production Manager_51016487,JGP,51016487,JGP_JobFamily,en_US,2860262864587855848
Inventory Control Supervi_51016299,JGP,51016299,JGP_JobFamily,en_US,2860262864587855849
Failure Analysis Technici_51084646,JGP,51084646,JGP_JobFamily,en_US,2860262864587855850
Assistant Production Mana_51049816,JGP,51049816,JGP_JobFamily,en_US,2860262864596244459
Outsourced Service Worker_51847038,JGP,51847038,JGP_JobFamily,en_US,2860262864596244460
Sr. Accountant_51016115,JGP,51016115,JGP_JobFamily,en_US,2860262864596244461
Lead Quality Technician -_51549470,JGP,51549470,JGP_JobFamily,en_US,2860262864596244462
Information Services Mana_51083909,JGP,51083909,JGP_JobFamily,en_US,2860262864596244463
Manufacturing Engineering_51016412,JGP,51016412,JGP_JobFamily,en_US,2860262864596244464
Manufacturing Engineer I_51016407,JGP,51016407,JGP_JobFamily,en_US,2860262864596244465
Manufacturing Technician_51936054,JGP,51936054,JGP_JobFamily,en_US,2860262864596244466
Assistant Manufacturing E_51016411,JGP,51016411,JGP_JobFamily,en_US,2860262864596244467
Machine Technician II_51581825,JGP,51581825,JGP_JobFamily,en_US,2860262864596244468
Purchasing Manager_51016477,JGP,51016477,JGP_JobFamily,en_US,2860262864596244469
Tooling Assembler V_51580140,JGP,51580140,JGP_JobFamily,en_US,2860262864596244470
Sr. Automation Design Eng_51453224,JGP,51453224,JGP_JobFamily,en_US,2860262864596244471
Material Handler II_51016356,JGP,51016356,JGP_JobFamily,en_US,2860262864596244472
